Cluster,Advertisements,Number_of_Ads,Preview,Keep_ID,Remove_IDs,Duplicate,Notes
6,"006, 007",2,weal ri it s nearly a year since the pandemic began and many of us have spent a long time feeling scared finding this whole thing relentless and overw,006,007,,
8,"009, 013",2,we promise to never put down a healthy dog a gift in your will to dogs trust can help take care of over dogs in rehoming centres across the uk we need,009,013,,
11,"011, 016",2,make sure your dog is cared for with a canine care card from dogs trust you ve always done what you can to protect your four legged friend and that sh,011,016,,
13,"014, 017",2,to freep eae sy monses donkey cows sheep and goats this winter this is the time of year when we need a bit of extra help to provide for the animals un,014,017,,
17,"020, 046, 053",3,once she believed only other people became homeless thousands of young people have been made homeless by the continuing crisis will you help keep them,020,"046, 053",,
20,"023, 055",2,do you know the symptoms of ovarian cancer persistent bloated tummy always feeling full tummy pain needing to wee more the sooner cancer is diagnosed ,023,055,,
22,"025, 060",2,~ alzheimer s research is it time you made or updated your will are you or a loved one affected by dementia worried about inheritance tax or paying fo,025,060,,
23,"026, 035, 050",3,i wateraid freepost plus rtxt jatz lijst wateraid york house wetherby road long marston york thank you for changing lives for every £ you give we spen,026,"035, 050",,
24,"027, 034",2,chain of life chain of life steps to getting vital vaccines to where they re needed ensuring that our medical teams are propety equipped with vaccines,027,034,,
27,"030, 044",2,your kindness means no one gets left behind with your support during the pandemic we can continue to make food and medicine deliveries give emergency ,030,044,,
28,"031, 041",2,oo britishredcross no one you can help left behind someone who has nowhere it s never been more import else to tur n the power to donate call visit re,031,041,,
31,"036, 040, 062, 066, 082, 106, 110, 116",8,british heart foundation a gift to us in your will is a gift to everyone you care about heart and circulatory diseases kill in of us in conditions lik,036,"040, 062, 066, 082, 106, 110, 116",,
32,"037, 043",2,your kindness gives mary hope initially mary was unsure about the covid vaccine she s not too keen on injections but your help means british red cross,037,043,,
40,"051, 140, 229, 252, 296, 322",6,questions about smear tests we re here for you coronavirus has changed a lot of things lf you ve been invited for cervical screening a smear test you ,051,"140, 229, 252, 296, 322",,
45,"058, 080",2,unstoppab together no matter where we are the virus has affected us all unicef is fighting back for every one of us and we won t leave anyone behind w,058,080,,
47,"061, 074",2,dementiaukk f£ l wr a i nae oo you can make a special tribute to your loved one and give the gift of life changing dementia support dementia uk provid,061,074,,
51,"068, 070, 079, 084, 093",5,ethiopia emergency appeal medecins sans frontieres doctors without borders albert vifias msf emergency coordinator in tigray ethiopia hundreds of thou,068,"070, 079, 084, 093",,
54,"072, 146, 228",3,wateraid tt ul freepost plus rtxt jatz ljist wateraid for every £ you give we spend york house wetherby road p on clean water decent toilets and good ,072,"146, 228",,
57,"076, 077, 085, 121, 125, 127, 136, 149, 170, 226, 269",11,ssaads ybis will you help protect just £ from could save her sight could save her sight yes want to give £ to stop trachoma and save the sight of chil,076,"077, 085, 121, 125, 127, 136, 149, 170, 226, 269",,
63,"088, 091",2,dogstrust make sure your dogiscared canine © an of for with a you ve always done what you can to measecal protect your four legged friend and that cic,088,091,,
73,"100, 107, 124, 156, 168, 172, 177, 188, 193, 196, 200, 214, 216, 218",14,yemen emergency appeal medecins sans frontieres doctors without borders msf anaesthetist lenka cervefiova and her team care for a four in dhi as sufal,100,"107, 124, 156, 168, 172, 177, 188, 193, 196, 200, 214, 216, 218",,
84,"114, 117, 137",3,© unicef césar or every we will only ever be safe when everyone is safe that s why the uk committee for unicef is asking prime minister boris johnson ,114,"117, 137",,
93,"129, 148",2,please visit st vincent and the grenadines disaster relief effort on th april la soufriere the volcano on the caribbean island of st vincent erupted t,129,148,,
98,"134, 158, 161, 169",4,u os dosyom yeg aslluduajuyz poomm uojuew aujzua uolyn os eeqg ayyl ply uelystsyd xsnn jvav ghly sn d jssodaad i¢ wa stand against climate chaos help ,134,"158, 161, 169",,
109,"151, 160, 179, 184, 205, 210, 212, 224, 227, 231",10,yemen emergency appeal msf anaesthetist lenka cervenova and her team care for a four year old boy after surgery in dhi as sufal hospital in yemen s ib,151,"160, 179, 184, 205, 210, 212, 224, 227, 231",,
112,"154, 204, 241",3,supporting msf we can t do it without you without regular support from people like you msf wouldn t exist javid abdelmoncim msf doctor your support ma,154,"204, 241",,
129,"183, 187, 195",3,urgent action iran help free my husband from an iranian prison my name is sherry zadi and for the last four my husband is a retired engineer a dual br,183,"187, 195",,
135,"192, 208",2,the animals charity freepost plus rtks zcxs hsbt wood green the animals charity fairlie road slough urgent appeal at wood green the animals charity we,192,208,,
142,"203, 225",2,what will happen to our world in the future one thing is certain greenpeace will need to be there you can count on us to defend the natural world and ,203,225,,
156,"235, 245, 256, 262",4,or druha examines two month old muhammad jamal admitted to the paediatric ward of ad dahi rural hospital after suffering diarrhoea and vomiting photog,235,"245, 256, 262",,
157,"236, 239, 257",3,british heart foundation bhf funded researcher dr joseph boyle is studying how to protect blood vessels from damage that could lead to a heart attack ,236,"239, 257",,
169,"251, 254",2,for learning for confidence for a lifetime leaving a gift in your will can be life changing get your free rnib will guide today and see how you an hel,251,254,,
171,"255, 270, 304",3,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to families fleeing the dreadful conflict violence in ethiop,255,"270, 304",,
173,"259, 261, 266",3,for learning for confidence for a lifetime a gift in your will could help people with sight loss build skills for life no one should feel held back in,259,"261, 266",,
182,"273, 279, 283",3,sads ybis will you help protect could save rer sight could save rer nee the end is in sight trachoma steals sight with every blink trachoma is an infe,273,"279, 283",,
184,"275, 293, 341, 344, 345, 349, 352, 360",8,british heart foundation researchers funded by the british heart foundation have spent the last years taking on the world s biggest killers heart and ,275,"293, 341, 344, 345, 349, 352, 360",,
186,"277, 291",2,ass lt reany lma nn a wa lifeboats at lifeboats when things go wrong at are on at right n now pom miles of coastline the rnli is a charity independent,277,291,,
189,"281, 285",2,for learning for confidence for a lifetime leaving a gift in your will can be life changing get your free rnib will guide today and see how you can he,281,285,,
194,"288, 298, 300, 339",4,a gift in your will helps the dogs and cats who deserve it most for over years battersea has been here for every dog and cat taking them in without qu,288,"298, 300, 339",,
199,"295, 303, 311",3,syaadsqybis could save her ene en we could save = sight a £t ~ j the end is in sight by y trachoma steals sight with every blink trachoma is an infect,295,"303, 311",,
219,"321, 329, 338, 348, 354, 359",6,mon sun sept sign up to take part at jeansforgenes org < join malin andersson tv personality and motivational speaker and show your support for this y,321,"329, 338, 348, 354, 359",,
242,"355, 362",2,i would like to give £ e othere you can help the people of afghanistan a humanitarian crisis is unfolding at the time of writing unhcr staff are conti,355,362,,
245,"358, 363",2,distance anywhere beat hunger everywhere choose from half put your foot down on uk hunger and join the race against hunger be the best that you can vi,358,363,,
