"term","estimate","std.error","statistic","p.value","IRR","Lower","Upper","Model"
"(Intercept)",-5.7521839331385,0.433876780588689,-13.2576440834973,4.07497281709528e-40,0.00317583740077136,0.00135685952389683,0.00743329948200673,"Vulnerability"
"Is_International1",0.212699556027832,0.276633457192712,0.768885868637571,0.44196106714949,1.23701294232553,0.719281832178055,2.12740118132453,"Vulnerability"
"NoiseRatio",-3.618090298405,3.89125445714896,-0.929800489340371,0.352474392930999,0.0268338722814352,1.30731632692929e-05,55.078995556316,"Vulnerability"
"(Intercept)",-3.51249152421266,0.135859676266213,-25.8538193284815,2.20401684055304e-147,0.0298225182691353,0.0228506323127487,0.0389215748492311,"Charity Agency"
"Is_International1",0.108121577945292,0.0877560314708977,1.23207004844047,0.217922918652931,1.11418319725612,0.93811733823002,1.32329309613878,"Charity Agency"
"NoiseRatio",-0.989117580461016,1.17508589016065,-0.841740666570164,0.399933129978474,0.371904722263738,0.0371687871439952,3.72121699603031,"Charity Agency"
"(Intercept)",-6.22652015566207,0.642896521886121,-9.68510474655359,3.48850750741373e-22,0.00197631722087303,0.000560547071025048,0.00696788897741782,"Beneficiary Vulnerability Proximity"
"Is_International1",0.915176876963601,0.424496195432377,2.15591302539575,0.031090457190633,2.49721691298892,1.08672037889087,5.7384516124402,"Beneficiary Vulnerability Proximity"
"NoiseRatio",-8.00364797485539,5.84295209861202,-1.36979524044988,0.17075082822592,0.000334241098080686,3.551719132022e-09,31.4543767380003,"Beneficiary Vulnerability Proximity"
"(Intercept)",-3.57643924780714,0.191445937866566,-18.681196831138,7.04223566082203e-78,0.0279751336362511,0.0192225100924367,0.040713106571552,"Charity Agency Proximity"
"Is_International1",0.0276501297860185,0.12439836297607,0.222270849266219,0.824103043442692,1.02803594233845,0.805597805492765,1.31189272306079,"Charity Agency Proximity"
"NoiseRatio",-2.16435960964647,1.65889626718117,-1.30469858330816,0.191995504084234,0.114823442882949,0.0044457962450162,2.96559318261017,"Charity Agency Proximity"
